text_index,chunk_index,score
0,0,3
0,1,3
0,2,3
0,3,3
0,4,4
0,5,4
0,6,4
0,7,3
0,8,3
0,9,4
0,10,3
0,11,4
0,12,4
1,0,3
1,1,3
1,2,3
1,3,3
1,4,4
1,5,3
1,6,3
1,7,4
1,8,3
1,9,3
1,10,4
1,11,3
1,12,3
2,0,3
2,1,3
2,2,4
2,3,4
2,4,3
2,5,4
2,6,4
2,7,4
2,8,3
2,9,4
2,10,3
2,11,4
2,12,4
3,0,4
3,1,3
3,2,3
3,3,4
3,4,4
3,5,4
3,6,3
3,7,4
3,8,3
3,9,3
3,10,4
3,11,4
3,12,4
4,0,4
4,1,3
4,2,3
4,3,4
4,4,3
4,5,4
4,6,3
4,7,3
4,8,3
4,9,4
4,10,4
4,11,3
4,12,4
5,0,3
5,1,3
5,2,4
5,3,3
5,4,3
5,5,4
5,6,4
5,7,4
5,8,3
5,9,3
5,10,4
5,11,4
5,12,4
6,0,3
6,1,3
6,2,3
6,3,4
6,4,3
6,5,4
6,6,4
6,7,3
6,8,4
6,9,3
6,10,4
6,11,3
6,12,4
7,0,4
7,1,3
7,2,3
7,3,3
7,4,4
7,5,3
7,6,3
7,7,3
7,8,4
7,9,3
7,10,4
7,11,4
7,12,3
8,0,3
8,1,4
8,2,4
8,3,4
8,4,3
8,5,3
8,6,3
8,7,3
8,8,3
8,9,4
8,10,3
8,11,3
8,12,4
9,0,4
9,1,3
9,2,3
9,3,4
9,4,3
9,5,3
9,6,3
9,7,4
9,8,3
9,9,3
9,10,4
9,11,4
9,12,4
10,0,3
10,1,3
10,2,4
10,3,3
10,4,3
10,5,4
10,6,3
10,7,3
10,8,4
10,9,3
10,10,3
10,11,4
10,12,4
11,0,3
11,1,3
11,2,3
11,3,4
11,4,3
11,5,4
11,6,3
11,7,3
11,8,3
11,9,3
11,10,3
11,11,4
11,12,4
12,0,4
12,1,3
12,2,3
12,3,4
12,4,3
12,5,4
12,6,4
12,7,3
12,8,3
12,9,3
12,10,3
12,11,3
12,12,4
13,0,3
13,1,3
13,2,4
13,3,3
13,4,3
13,5,4
13,6,3
13,7,4
13,8,3
13,9,4
13,10,3
13,11,4
13,12,4
14,0,3
14,1,4
14,2,4
14,3,3
14,4,3
14,5,3
14,6,4
14,7,3
14,8,3
14,9,3
14,10,3
14,11,4
14,12,4
15,0,4
15,1,3
15,2,4
15,3,3
15,4,3
15,5,4
15,6,4
15,7,4
15,8,4
15,9,3
15,10,4
15,11,3
15,12,3
16,0,3
16,1,3
16,2,3
16,3,3
16,4,4
16,5,3
16,6,4
16,7,3
16,8,3
16,9,3
16,10,4
16,11,4
16,12,4
17,0,4
17,1,4
17,2,4
17,3,3
17,4,3
17,5,3
17,6,3
17,7,3
17,8,4
17,9,3
17,10,3
17,11,3
17,12,4
18,0,4
18,1,3
18,2,3
18,3,3
18,4,3
18,5,3
18,6,4
18,7,3
18,8,3
18,9,3
18,10,4
18,11,4
18,12,4
19,0,4
19,1,3
19,2,4
19,3,3
19,4,3
19,5,4
19,6,3
19,7,3
19,8,3
19,9,4
19,10,4
19,11,4
19,12,4
20,0,4
20,1,3
20,2,4
20,3,3
20,4,4
20,5,3
20,6,4
20,7,4
20,8,4
20,9,3
20,10,3
20,11,4
20,12,3
21,0,3
21,1,4
21,2,3
21,3,4
21,4,3
21,5,3
21,6,4
21,7,3
21,8,3
21,9,3
21,10,4
21,11,4
21,12,4
22,0,3
22,1,3
22,2,3
22,3,4
22,4,4
22,5,3
22,6,3
22,7,3
22,8,4
22,9,4
22,10,4
22,11,4
22,12,4
23,0,3
23,1,3
23,2,3
23,3,4
23,4,4
23,5,3
23,6,4
23,7,4
23,8,4
23,9,3
23,10,3
23,11,4
23,12,4
24,0,3
24,1,3
24,2,4
24,3,3
24,4,3
24,5,3
24,6,4
24,7,4
24,8,4
24,9,4
24,10,4
24,11,4
24,12,3
25,0,4
25,1,3
25,2,3
25,3,3
25,4,4
25,5,3
25,6,4
25,7,3
25,8,4
25,9,4
25,10,4
25,11,4
25,12,4
26,0,3
26,1,3
26,2,3
26,3,3
26,4,4
